m,p,t,alpha,Cl,Cd,Cm
0.0475,0.37812500000000004,0.11975000000000001,4.550000000000001,1.0506136417388916,0.0079584876075387,-0.11325877159833908
0.04850000000000001,0.146875,0.14675,3.3500000000000005,0.8311014771461487,0.010375401936471462,-0.05559072643518448
0.0455,0.24687500000000004,0.08525,3.95,0.906566321849823,0.008233938366174698,-0.08468461036682129
0.026500000000000003,0.5281250000000001,0.17675000000000002,3.05,0.6833553910255432,0.007887939922511578,-0.0784645527601242
0.0655,0.12187500000000001,0.14075000000000001,1.25,0.7727336287498474,0.016572514548897743,-0.07586100697517395
0.0105,0.578125,0.14525,0.6500000000000001,0.22505512833595276,0.006264732219278812,-0.036673035472631454
0.0405,0.47187500000000004,0.16025,4.95,1.0423812866210938,0.008390509523451328,-0.1084885224699974
0.0155,0.10312500000000001,0.17225000000000001,1.05,0.26964521408081055,0.00729479780420661,-0.013740531168878078
0.029500000000000005,0.484375,0.08375,1.4500000000000002,0.5422056317329407,0.004533438943326473,-0.08933094888925552
0.027500000000000004,0.184375,0.15575,1.6500000000000001,0.4572148323059082,0.007439887151122093,-0.03664392605423927
0.0355,0.478125,0.09875,7.75,1.2281368970870972,0.014108291827142239,-0.09019672870635986
0.0325,0.359375,0.16925,5.550000000000001,1.0253918170928955,0.009158284403383732,-0.07838805764913559
0.05050000000000001,0.12812500000000002,0.17975000000000002,5.8500000000000005,1.0668363571166992,0.013952251523733139,-0.03738747537136078
0.038500000000000006,0.16562500000000002,0.17525000000000002,4.050000000000001,0.8109229803085327,0.010388213209807873,-0.04089571535587311
0.036500000000000005,0.459375,0.11375,6.15,1.1044843196868896,0.009916226379573345,-0.09639248251914978
0.03150000000000001,0.390625,0.13775,4.8500000000000005,0.923504114151001,0.007863626815378666,-0.07873136550188065
0.0755,0.46562500000000007,0.13475,6.8500000000000005,1.579614520072937,0.011348537169396877,-0.18940147757530212
0.0675,0.453125,0.19175000000000003,0.55,0.8425755500793457,0.009178011678159237,-0.16638825833797455
0.0115,0.509375,0.16475,7.45,0.9933188557624817,0.011333356611430645,-0.035931117832660675
0.0305,0.43437500000000007,0.18725000000000003,7.3500000000000005,1.122379183769226,0.010923038236796856,-0.0636369064450264
0.0805,0.571875,0.10025,3.6500000000000004,1.494462490081787,0.007336954120546579,-0.2728625237941742
0.0685,0.521875,0.10175000000000001,0.25,0.9343964457511902,0.006557684391736984,-0.2177748680114746
0.059500000000000004,0.23437500000000003,0.08975000000000001,5.75,1.230648398399353,0.010518914088606834,-0.10484766215085983
0.06050000000000001,0.265625,0.08225,7.8500000000000005,1.4710612297058105,0.011197430081665516,-0.11462142318487167
0.0795,0.296875,0.19925,7.25,1.4498664140701294,0.017837993800640106,-0.11145526170730591
0.07050000000000001,0.49687500000000007,0.15275,1.85,1.0958268642425537,0.008176984265446663,-0.20360559225082397
